year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2005,ARI,63329166,2345525,550000,77,822456.7,no
2005,ATL,86457302,3458292,1000000,90,960636.69,no
2005,BAL,73914333,2639798,962500,74,998842.34,no
2005,BOS,118255125,4379819,2750000,95,1244790.79,no
2005,CHC,87032933,3108319,2150000,79,1101682.7,no
2005,CHW,75178000,2784370,2000000,99,759373.74,yes
2005,CIN,61892583,2063086,550000,73,847843.6,no
2005,CLE,41502500,1431121,500000,93,446263.44,no
2005,COL,48155000,1605167,322500,67,718731.34,no
2005,DET,68737000,2545815,1025000,71,968126.76,no
2005,HOU,76779000,2953038,500000,89,862685.39,no
2005,KCR,36881000,1365963,352000,56,658589.29,no
2005,LAA,87575322,3127690,925000,95,921845.49,no
2005,LAD,83039000,2767967,650000,71,1169563.38,no
2005,MIA,60408834,2237364,1100000,83,727817.28,no
2005,MIL,39934833,1597393,420000,81,493022.63,no
2005,MIN,56186000,2080963,750000,83,676939.76,no
2005,NYM,101305821,3752067,1150000,83,1220552.06,no
2005,NYY,182306817,7292273,5666667,95,1919019.13,no
2005,OAK,55425762,2131760,591667,88,629838.2,no
2005,PHI,95522000,3673923,3025000,88,1085477.27,no
2005,PIT,38133000,1361893,368000,67,569149.25,no
2005,SDP,63290833,2260387,825000,82,771839.43,no
2005,SEA,87754334,2742323,800000,75,1170057.79,no
2005,SFG,90199500,3469212,2000000,69,1307239.13,no
2005,STL,91783333,3671333,2333333,100,917833.33,no
2005,TBR,29679067,1023416,600000,67,442971.15,no
2005,TEX,55849000,1801581,650000,79,706949.37,no
2005,TOR,45719500,1758442,525000,80,571493.75,no
2005,WAS,48581500,1619383,628500,81,599771.6,no
