year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2019,ARI,"$108,040,650 ","$3,601,355 ","$2,425,000 ",85,"$1,271,066.47 ",no
2019,ATL,"$117,855,753 ","$4,063,991 ","$1,250,000 ",97,"$1,215,007.76 ",no
2019,BAL,"$80,012,045 ","$2,857,573 ","$568,250 ",54,"$1,481,704.54 ",no
2019,BOS,"$204,335,019 ","$7,046,035 ","$2,933,333 ",84,"$2,432,559.75 ",no
2019,CHC,"$211,546,714 ","$7,051,557 ","$4,200,000 ",84,"$2,518,413.26 ",no
2019,CHW,"$90,652,000 ","$3,237,571 ","$990,000 ",72,"$1,259,055.56 ",no
2019,CIN,"$133,580,714 ","$4,770,740 ","$2,187,500 ",75,"$1,781,076.19 ",no
2019,CLE,"$122,875,033 ","$4,237,070 ","$1,000,000 ",93,"$1,321,236.91 ",no
2019,COL,"$150,805,164 ","$5,585,376 ","$2,500,000 ",71,"$2,124,016.39 ",no
2019,DET,"$104,581,900 ","$3,169,148 ","$570,800 ",47,"$2,225,146.81 ",no
2019,HOU,"$165,653,000 ","$6,135,296 ","$4,500,000 ",107,"$1,548,158.88 ",no
2019,KCR,"$102,570,791 ","$3,205,337 ","$725,000 ",59,"$1,738,487.98 ",no
2019,LAA,"$177,328,583 ","$5,373,593 ","$1,400,000 ",72,"$2,462,896.99 ",no
2019,LAD,"$170,903,333 ","$6,103,690 ","$2,887,500 ",106,"$1,612,295.59 ",no
2019,MIA,"$70,610,020 ","$2,615,186 ","$570,000 ",57,"$1,238,772.28 ",no
2019,MIL,"$127,850,342 ","$4,261,678 ","$2,362,500 ",89,"$1,436,520.70 ",no
2019,MIN,"$114,901,933 ","$3,962,136 ","$1,800,000 ",101,"$1,137,642.90 ",no
2019,NYM,"$149,002,230 ","$4,966,741 ","$2,112,500 ",86,"$1,732,584.07 ",no
2019,NYY,"$205,442,088 ","$6,420,065 ","$1,593,750 ",103,"$1,994,583.38 ",no
2019,OAK,"$102,545,000 ","$3,107,424 ","$1,400,000 ",97,"$1,057,164.95 ",no
2019,PHI,"$144,616,127 ","$5,356,153 ","$2,249,000 ",81,"$1,785,384.28 ",no
2019,PIT,"$76,082,999 ","$2,305,545 ","$584,000 ",69,"$1,102,652.16 ",no
2019,SDP,"$75,795,766 ","$2,368,618 ","$573,800 ",70,"$1,082,796.66 ",no
2019,SEA,"$152,807,076 ","$5,093,569 ","$755,000 ",77,"$1,984,507.48 ",no
2019,SFG,"$199,729,652 ","$7,681,910 ","$4,037,500 ",68,"$2,937,200.76 ",no
2019,STL,"$165,253,599 ","$5,508,453 ","$1,750,000 ",91,"$1,815,973.62 ",no
2019,TBR,"$53,500,799 ","$1,910,743 ","$568,500 ",96,"$557,299.99 ",no
