year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2019,ARI,"$108,040,650 ",3601355,2425000,85,1271066.47,no
2019,ATL,"$117,855,753 ",4063991,1250000,97,1215007.76,no
2019,BAL,"$80,012,045 ",2857573,568250,54,1481704.54,no
2019,BOS,"$204,335,019 ",7046035,2933333,84,2432559.75,no
2019,CHC,"$211,546,714 ",7051557,4200000,84,2518413.26,no
2019,CHW,"$90,652,000 ",3237571,990000,72,1259055.56,no
2019,CIN,"$133,580,714 ",4770740,2187500,75,1781076.19,no
2019,CLE,"$122,875,033 ",4237070,1000000,93,1321236.91,no
2019,COL,"$150,805,164 ",5585376,2500000,71,2124016.39,no
2019,DET,"$104,581,900 ",3169148,570800,47,2225146.81,no
2019,HOU,"$165,653,000 ",6135296,4500000,107,1548158.88,no
2019,KCR,"$102,570,791 ",3205337,725000,59,1738487.98,no
2019,LAA,"$177,328,583 ",5373593,1400000,72,2462896.99,no
2019,LAD,"$170,903,333 ",6103690,2887500,106,1612295.59,no
2019,MIA,"$70,610,020 ",2615186,570000,57,1238772.28,no
2019,MIL,"$127,850,342 ",4261678,2362500,89,1436520.7,no
2019,MIN,"$114,901,933 ",3962136,1800000,101,1137642.9,no
2019,NYM,"$149,002,230 ",4966741,2112500,86,1732584.07,no
2019,NYY,"$205,442,088 ",6420065,1593750,103,1994583.38,no
2019,OAK,"$102,545,000 ",3107424,1400000,97,1057164.95,no
2019,PHI,"$144,616,127 ",5356153,2249000,81,1785384.28,no
2019,PIT,"$76,082,999 ",2305545,584000,69,1102652.16,no
2019,SDP,"$75,795,766 ",2368618,573800,70,1082796.66,no
2019,SEA,"$152,807,076 ",5093569,755000,77,1984507.48,no
2019,SFG,"$199,729,652 ",7681910,4037500,68,2937200.76,no
2019,STL,"$165,253,599 ",5508453,1750000,91,1815973.62,no
2019,TBR,"$53,500,799 ",1910743,568500,96,557299.99,no
2019,TEX,"$106,969,999 ",3820357,2000000,78,1371410.24,no
2019,TOR,"$71,228,671 ",2225896,1100000,67,1063114.49,no
2019,WAS,"$204,449,127 ",7301755,3862500,93,2198377.71,yes
2018,ARI,"$116,038,416 ",4144229,2500000,82,1415102.63,no
2018,ATL,"$83,306,041 ",2872622,750000,90,925622.68,no
2018,BAL,"$157,168,830 ",5238961,2320000,47,3344017.66,no
2018,BOS,"$206,247,686 ",6445240,2137500,108,1909700.8,yes
2018,CHC,"$181,810,002 ",6992692,3837500,95,1913789.49,no
2018,CHW,"$86,050,333 ",3187049,1000000,62,1387908.6,no
2018,CIN,"$101,843,451 ",3182608,612500,67,1520051.51,no
2018,CLE,"$138,485,500 ",4616183,2600000,91,1521818.68,no
2018,COL,"$147,245,164 ",5077419,610000,91,1618078.73,no
